feature,importance
num__age,0.10716368139438116
num__balance,0.10431159103396252
cat__poutcome_success,0.08987720589183812
num__day_of_week,0.08018129031659539
num__pdays,0.07391052130805359
cat__poutcome_failure,0.06140817098987622
cat__housing_no,0.04724505715886078
cat__housing_yes,0.045311288000473446
num__campaign,0.044318502295044526
num__previous,0.03785529072375753
cat__month_may,0.028978975760779756
cat__month_apr,0.02775498867582202
cat__month_oct,0.019869805011052455
cat__marital_married,0.019101188362175805
cat__month_mar,0.01693546445422324
cat__marital_single,0.013290953597261703
cat__loan_no,0.01223414197208977
cat__job_blue-collar,0.012197341648712013
cat__month_aug,0.012086471630029311
cat__education_tertiary,0.011477539938274713
cat__loan_yes,0.010590391852595618
cat__month_jul,0.00904368197745324
cat__month_jun,0.008997081489678652
cat__month_nov,0.00898594764031075
cat__education_secondary,0.008281703140067194
cat__month_sep,0.008237989694557257
cat__education_primary,0.00772843672460124
cat__month_feb,0.007370298233124511
cat__job_management,0.006854725308859155
cat__poutcome_other,0.006827392673346234
cat__job_technician,0.0066842979503505115
cat__job_retired,0.006612213648932242
cat__month_jan,0.005395749355013096
cat__job_admin.,0.005159285940681948
cat__marital_divorced,0.004950582625147071
cat__job_services,0.004329824001133637
cat__job_student,0.0039625969739464865
cat__contact_telephone,0.0028137097432529806
cat__contact_cellular,0.0025425851218613283
cat__job_housemaid,0.00216280462875773
cat__job_self-employed,0.0016311976844467098
cat__job_entrepreneur,0.0014980185476650245
cat__job_unemployed,0.0013549537872321246
cat__month_dec,0.0012439371253919085
cat__default_no,0.0006649120554409885
cat__default_yes,0.0005662119128883142
